pnID1,siID1,mnID1,nam1,etime1,status,DQ11t1,DQ12t1,DQ1A,DQ2,DQ31,DQ32,DQ33,DQ34,DQ3A1n1,DQ4A1,DQ4A2,DQ4A3,DQ4B,DQ51n1,DQ6,DQ70c1,DQ70c2,DQ70c3,DQ7A,DQ8,DQ91t1,DQ92n1,DQ10,DQ10n1,DQ11A,DQ11An1,DQ11An2,DQ12,DQ13,DQ141n1,DQ142n1,DQ142n2,DQ143n1,DQ143n2,DQ143n3,DQ144n1,DQ144n2,DQ144n3,DQ151t1,DQ152n1,DQ152n2,DQ152n3,DQ153n1,DQ153n2,DQ153n3,Q01,Q0211,Q0212,Q0221,Q0222,Q0231,Q0232,Q0311,Q0312,Q0313,Q0314,Q0321,Q0322,Q0323,Q0324,Q0319,Q0329,Q041,Q042,Q043,Q04t8,Q0511,Q0512,Q0513,Q0521,Q0522,Q0523,Q0519,Q06,Q071,Q072,Q073,Q074,Q0811,Q0812,Q0813,Q0821,Q0822,Q0823,Q08A1,Q08A2,Q08A3,Q08A4,Q08At4,Q0911,Q0912,Q0913,Q0914,Q09t4,Q0915,Q101n1,Q1111,Q1112,Q1113,Q1119,Q12,Q1311,Q1312,Q141,Q142,Q143,Q14t11,Q15,Q15A,Q15B1,Q15B2,Q15B3,Q15B4,Q15B5,Q15Bt5,Q161,Q162,Q16t9,Q17,Q18,Q18A,Q18At5,Q18B,Q18Bt6,Q19,Q19t5,Q20A1,Q20A2,Q20A3,Q20A4,Q20A5,Q20At5,Q20AA,Q20AAt3
,000056,999999,서형주,2022-09-08 오전 11:20:00,201,,파리바게트,1141,1,,서울 강남구 강남대로 428,,,,1,,,1,,3,1,105,CS100005,1,2,강남역,243,2,,2,,1,,1,43,2019,1,7,23,0,3,7,,김의수,,,,10,4858,1979,2,151.9,,,,,,27000,27000,27000,,1860,1860,1860,,,,,,,,,,,200,200,200,,,1,2,2,2,,15000,60000,,,,,,,,,100,0,0,0,,,5,6500,6500,6500,N,,1500,0.16,6,8,9,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000062,999999,서형주,2022-09-08 오전 11:20:00,201,,하나우동,1141,1,,서울 서초구 서초대로 78길 38,,,8,1,,,1,102,1,1,108,CS100008,1,2,강남역,118,2,,1,2,,,1,50,2000,7,10,21,4,2,,,이종남,2,523,9920,10,4286,8236,3,62.81,62.81,,,,,6000,6000,6000,6000,360,360,400,400,,,1,8,,코로나,30,30,30,,,,,,1,1,1,1,,28000,,,,,,2,3,,,100,0,0,0,,,2,2800,2800,2800,N,,,,6,7,8,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000070,999999,서형주,2022-09-08 오전 11:20:00,201,,단밤포차,1229,1,,서울 마포구 독막로 7길 27,,,6,1,,,1,1,1,1,109,CS100009,1,2,상수역,525,2,,1,2,,,1,49,2020,3,16,22,,1,,,이광희,,,,10,4471,2225,3,92.56,,,,,,5000,5000,5000,,450,450,450,,,,,,,,50,50,50,70,70,70,,,1,1,1,1,,,10000,,,,,,3,,,80,20,0,0,,,2,700,700,2000,Y,코로나,,,8,1,9,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
,000085,999999,서형주,2022-09-08 오전 11:20:00,201,,모델사,1171,2,,서울 종로구 종로 320-1,,,2,1,,,1,1,1,3,315,CS300015,3,2,동대문역,107,1,,1,3,,,1,80,2013,7,9,19,,,,,박용남,,,,10,2308,4115,3,19.83,,,,,,2000,2000,2000,2000,130,130,130,130,,,,,,,,,,15,15,15,,,2,2,2,1,,5000,1000,,,,,,,,,100,0,0,0,,,모름,30,30,30,Y,코로나,,,1,8,7,,,,,,,,,,3,8,,,,,,,,,,,,,,,,,
,000092,999999,서형주,2022-09-08 오전 11:20:00,201,,송지헤어,1171,2,,서울 종로구 종로 46길 28,,,1,1,,,1,1,1,2,228,CS200028,2,2,동대문역,112,2,,2,,1,,2,65,1991,7,8,18,4,,,,김영미,,,,10,8779,9124,3,13.22,,,,,,1200,1200,1200,1200,94,94,94,94,,,,,,,,,,8,8,8,,,1,2,2,1,,2000,2000,,,,1,,,,,100,0,0,0,,,4,150,150,150,N,,100,0.33,1,7,8,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000101,999999,서형주,2022-09-08 오전 11:20:00,201,,백련사주 타로,1255,2,,서울 용산구 이태원로 164-1,,,3,1,,,1,1,1,2,249,CS200049,2,2,이태원역,165,1,2,1,4,,,1,64,2019,1,13,22,,1,,,김창명,,,,10,8949,7,3,,,,,,,3000,3000,3000,3000,120,120,120,120,,,,,,,,,,,,,,,1,2,1,1,,700,500,,,,1,,,,,0,0,100,0,,,1,,,,,,10,,1,3,8,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,
,000118,999999,서형주,2022-09-08 오전 11:20:00,201,,Room 3,1255,1,,서울 용산구 보광로 60길 14-6,,,4,1,,,1,,1,2,228,CS200028,2,2,이태원역,164,2,,1,1,,,1,46,2013,7,10,20,,,,,전용상,,,,10,5905,331,3,,,,,,,3000,3000,,,180,180,,,,,7,,,,,,,,,,,,1,2,2,2,,,,,,,,,,,,100,0,0,0,,,2,,,,,,,,1,8,7,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,
,000134,999999,서형주,2022-09-08 오전 11:20:00,201,,압구정하루,1231,1,,서울 강남구 언주로 172길 56,,663-9,4,1,,,1,1,1,1,103,CS100003,1,1,압구정로데오,254,1,2,1,2,,,2,,2021,7,11,21,,5,,,장현숙,,,,10,9142,5684,3,115.7,,,,,,20000,20000,20000,20000,1000,1000,1000,1000,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,2,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000137,999999,서형주,2022-09-08 오전 11:20:00,201,,술노리아,1511,1,,서울 송파구 문정로 1길 31,,,1,1,,,1,4,1,1,109,CS100009,1,2,문정,400,,,1,1,,,2,,2019,7,18,22,4,,,1,조연희,,,,10,6279,2387,3,,,,,,,1500,1500,1500,1500,150,150,150,150,,,,,,,,,,5,5,,,,1,2,1,1,,2000,,,,,,,3,,,,,,,,,,600,600,700,Y,신규 소분인한 증가,,,1,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000160,999999,서형주,2022-09-08 오전 11:20:00,201,,카스텔바작,1511,1,,서울 송파구 동남로 100,,,,1,,,1,,1,3,311,CS300011,3,2,문정,500,1,5,1,6,,,2,,2019,1,10,20,,,1,,,2,400,7618,,,,2,,,,,,,10000,10000,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,10000,,,,,1,2,3,,,,,,,,,,,,,,,,,1,8,6,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,
,000059,999999,서형주,2022-09-08 오전 11:20:00,201,,서브웨이,1141,2,,서울 강남구 강남대로 96길 12,,,1,1,,,1,1,1,1,106,CS100006,1,1,강남역,193,2,,2,,1,,1,67,2015,7,8,22,,2,6,,김태도,2,557,4727,10,5206,7569,2,165.3,,,,,,20000,20000,20000,20000,500,500,500,500,,,,,,,60,60,60,,,,,,1,1,1,2,,,,,,,,,,,,,,,,,,1,7000,7000,7000,N,,,,6,8,7,,,,,,,,,,3,8,,,,,,,,,,,,,,,,,
,000065,999999,서형주,2022-09-08 오전 11:20:00,201,,허니케밥,1141,2,,서울 강남구 강남대로 106길 7,,,4,1,,,1,1,1,1,104,CS100004,1,2,신논현역,243,2,,2,,1,,2,67,2019,7,8,20,,,,,이애희,2,552,7666,10,7666,2999,3,25.08,25.08,,,,,5000,5000,5000,5000,300,300,300,300,,,,,,,10,10,10,100,100,60,,,1,2,2,1,,5000,1000,,,,1,,,,,100,0,0,0,,,1,,,,,,,,6,1,8,,,,,,,,,,3,8,,,,,,,,,,,,,,,,,
,000112,999999,서형주,2022-09-08 오전 11:20:00,201,,자성당,1255,2,,서울 용산구 이태원로 26길 17,,,3,1,,,1,,1,1,109,CS100009,1,2,이태원역,133,2,,1,1,,,1,31,2019,5,10,22,,1,,,나종혁,,,,10,9554,8173,3,,,,,,,2000,2000,2000,2000,180,180,180,180,,,,,,,,,,,,,,,1,1,1,1,,1120,1000,,,,1,,,,,100,0,0,0,,,,3000,3000,7000,Y,코로나,700,0.3,8,4,1,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,
,000114,999999,서형주,2022-09-08 오전 11:20:00,201,,무지개기프트샵,1255,2,,서울 용산구 이태원로 169-1,,,3,1,,,1,,1,3,347,CS300047,3,2,이태원역,82,1,2,1,4,,,2,63,2001,7,11,22,,,,,김순이,2,792,5931,,,,3,,,,,,,6000,6000,4000,4000,350,350,290,290,,,,,,,4,4,,12,12,,,,2,2,2,2,,,1000,,,,,,,,,25,75,0,0,,,2,300,300,200,Y,코로나로 인한 외국인 감소,,,1,3,8,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000122,999999,서형주,2022-09-08 오전 11:20:00,201,,제이반스,1229,2,,서울 마포구 독막로 7길 34,,,5,1,,,1,2,1,3,311,CS300011,3,1,상수역,440,2,,1,1,,,1,32,2011,7,11,21,,,1,,강돈균,,,,10,9936,1692,3,46.28,,,,,,12000,12000,12000,12000,460,460,460,460,,,,,,,20,20,20,,,,,,2,2,2,2,,,3000,,,,,,3,,,67,33,0,0,,,4,1500,1500,4000,Y,코로나,1500,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000138,999999,서형주,2022-09-08 오전 11:20:00,201,,서울 팥집,1511,2,,서울 송파구 문정로 1길 36,,,4,1,,,1,,1,1,110,CS100010,1,2,문정,500,,,2,,1,,2,,2018,7,12,20,4,,,,어지원,,,,10,9588,7730,3,,,,,,,1050,1050,1050,1000,90,90,90,90,,,6,,,,,,,3,3,,,,1,1,1,1,,5000,,,,,1,,3,,,,,,,,,,1000,1000,800,Y,배달수요,,,8,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000145,999999,서형주,2022-09-08 오전 11:20:00,201,,울티모,1511,2,,서울 송파구 송파대로 22길 14,,,4,1,,,1,,1,1,110,CS100010,1,2,문정,,,,1,1,,,2,,2020,5,11,21,2,,,,김민혜,,,,10,4734,470,3,,,,,,,2500,2500,2500,,135,135,135,,,,,,,,,,,,,,,,1,1,1,1,,1000,,,,,1,,3,,,,,,,,,1,600,600,800,Y,코로나 (거리두기),,,8,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000154,999999,서형주,2022-09-08 오전 11:20:00,201,,강남기획,1511,2,,서울 송파구 동남로 2길 16,,,4,1,,,1,,1,2,252,CS200052,2,2,문정,400,,,1,1,,,1,,2016,7,9,6,,2,,,이정호,,,,10,7547,8810,3,,,,,,,2000,2000,2000,2000,80,80,80,80,,,,,,,,,,5,5,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000163,999999,서형주,2022-09-08 오전 11:20:00,201,,종로빈대떡,1271,2,,서울 관악구 남현1길 58,,,4,1,,,1,,1,1,109,CS100009,1,2,사당,204,2,,2,,1,,1,63,2001,3,1,10,,2,,,윤정국,2,585,9093,,,,3,,,,,,,5000,5000,5000,5000,300,300,350,350,,,1,5,2,,10,10,10,10,10,10,,,1,1,1,1,,,1000,,,,,,,,,100,0,0,0,,,,1300,1300,1300,N,,,0.15,1,4,8,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000180,999999,서형주,2022-09-08 오전 11:20:00,201,,장가네토종순대국,1271,2,,서울 동작구 동작대로 3길 38,,,3,1,,,1,,1,1,101,CS100001,1,2,사당,428,2,,2,,1,,2,56,2004,6,10,10,4,2,,,길정애,2,587,2207,,,,3,,,,,,,1000,1000,1000,1000,90,90,90,90,,,,,,,,,,,,,,,1,2,2,1,,2000,1000,,,,1,2,,,,100,0,0,0,,,2,1000,1000,1000,N,,,0.2,8,4,1,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000053,999999,서형주,2022-09-08 오전 11:20:00,201,,스마트 온누리 약국,1141,1,,서울 서초구 강남대로 53길 7,,,14,1,,,1,101,1,3,318,CS300018,3,2,강남역,154,2,,1,2,,,2,52,2017,7,8,21,1,,,,오은주,2,523,365,10,2630,373,3,59.5,,,,,,5000,5000,5000,5000,690,690,690,675,,,,,,,,,,50,50,50,,,1,1,1,1,,23000,2000,,,,1,2,3,,,0,100,0,0,,,1,,,,,,,,1,8,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,
,000069,999999,서형주,2022-09-08 오전 11:20:00,201,,제순식당,1229,2,,서울 마포구 와우산로 15길 30,,,3,1,,,1,1,1,1,101,CS100001,1,2,상수역,231,2,,2,,1,,2,62,2018,7,10,22,2,,1,,김현순,,,,10,6245,3581,3,,,,,,,4000,4000,4000,4000,319,319,319,319,,,,,,,,,,70,70,70,,,1,1,1,1,,6000,,,,,,,3,,,100,0,0,0,,,2,1000,1000,1500,Y,코로나,400,,8,1,6,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000078,999999,서형주,2022-09-08 오전 11:20:00,201,,코코버블티,1229,2,,서울 마포구 홍익로 15,,,4,1,,,1,1,1,1,110,CS100010,1,2,홍대입구역,335,1,,1,3,,,2,38,2019,7,11,22,,,1,,왕건,,,,10,7241,5688,2,23.14,,,,,,6000,6000,6000,6000,450,450,450,450,,,,,,,,,,45,45,45,,,1,2,2,1,,4900,3100,,,,1,,,,,100,0,0,0,,,2,900,900,900,N,,,,1,8,9,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000080,999999,서형주,2022-09-08 오전 11:20:00,201,,매거진랜드,1229,2,,서울 마포구 잔다리로 6길 17,,,2,1,,,1,1,1,3,320,CS300020,3,1,합정역,484,2,,1,1,,,1,60,2001,7,10,18,8,,,,이규택,2,3142,6460,10,7737,5651,3,23.14,,,,,,700,700,700,700,100,100,100,100,,,,,,,5,5,5,4,4,4,,,1,2,2,2,,,1500,,,,,,,,,100,0,0,0,,,,800,800,800,N,,450,0.3,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000105,999999,서형주,2022-09-08 오전 11:20:00,201,,히말라야아이즈,1255,2,,서울 용산구 이태원로 17길 19,,,3,1,,,1,,1,3,311,CS300011,3,2,이태원역,349,,2,1,1,,,2,58,2015,3,11,9,,,1,,이경희,,,,10,5036,4541,3,,,,,,,1000,1000,1000,1000,99,99,99,99,,,,,,,,,,,,,,,1,2,2,1,,3500,1500,,,,,2,,,,0,100,0,0,,,1,,,,,,,,8,9,7,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,000128,999999,서형주,2022-09-08 오전 11:20:00,201,,마포곱창,1229,2,,서울 마포구 동교동로 27길 20,,,1,1,,,1,,1,1,101,CS100001,1,2,홍대입구역,315,2,,2,,1,,2,59,2018,7,11,22,,,,1,윤정분,,,,10,3202,8807,3,228.1,,,,,,10000,10000,10000,10000,600,600,600,600,,,,,,,,,,,,,,,1,1,2,2,,40000,12000,,,,1,2,,,,0,0,100,0,,,2,400,400,600,Y,코로나,,,1,7,8,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000135,999999,서형주,2022-09-08 오전 11:20:00,201,,키즈럭스,1231,1,,서울 강남구 도산대로 55길 18,,32295,5,1,,,1,1,1,3,313,CS300013,3,2,압구정로데오,256,1,2,2,,1,,2,,2021,7,10,19,4,,,,,2,548,8890,,,,3,102.5,,,,,,1000,1000,1000,1000,850,850,850,850,,,,,,,,,,,,,,,1,2,2,2,,,20000,,,,,,,,,,,,,,,1,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000158,999999,서형주,2022-09-08 오전 11:20:00,201,,시선안경,1511,1,,서울 송파구 동남로 138,,,5,1,,,1,,1,3,316,CS300016,3,1,문정,700,1,5,1,6,,,1,60,2003,7,9,9,,2,,,박종록,,,,10,8799,1872,3,,,,,,,42000,42000,42000,42000,330,330,330,300,,,8,,,,,,,164,164,164,,,1,1,2,2,,,,,,,,,,,,,,,,,,,3000,3000,4500,Y,코로나,,0.15,1,6,,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,
,000171,999999,서형주,2022-09-08 오전 11:20:00,201,,굴(돈)뚝집,1271,1,,서울 서초구 방배천로 2안길 8,,우정빌딩,5,1,,,1,,3,1,101,CS100001,1,2,사당,461,2,,2,,1,,1,52,2013,6,2,2,,1,,,모두원,2,521,4069,,,,3,,,,,,,5000,5000,5000,5000,1300,1300,1300,1300,,,,,,,,,,,,,,,1,1,1,1,,15000,3000,,,,1,2,,,,100,0,0,0,,,2,2000,2000,2000,N,,,0.15,8,4,1,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000189,999999,서형주,2022-09-08 오전 11:20:00,201,,방배동 그 집,1271,1,,서울 서초구 방배천로 44,,,3,1,,,1,,1,1,109,CS100009,1,2,사당,475,2,,2,,1,,2,60,2004,5,10,9,2,2,,,정선희,,,,10,8344,6017,3,,,,,,,2000,2000,2000,2000,160,160,160,180,,,1,5,2,,3,3,3,,,,,,1,1,1,2,,,500,,,,,,,,,100,0,0,0,,,2,200,200,200,N,,,0.2,8,4,1,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000051,999999,서형주,2022-09-08 오전 11:20:00,201,,현대공인중개,1276,1,,서울 구로구 새말로 16길 17,,,2,1,,,1,,1,2,233,CS200033,2,2,신도림,448,2,,1,4,,,1,68,2014,7,9,20,,,,,유기성,,,,10,9105,1882,3,23.1,,,,,,300,300,,,80,80,,,,,,,,,,,,13,13,,,,1,2,2,2,,,500,,,,,,,,,,,,,,,,200,200,,,,300,,8,1,4,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
,000052,999999,서형주,2022-09-08 오전 11:20:00,201,,베스트 공인중개사,1141,1,,서울 강남구 강남대로 84길 15,,,15,1,,,1,,1,2,233,CS200033,2,2,강남역,173,2,,2,,1,,2,52,2009,7,9,19,4,,,,김시윤,,,,10,5571,959,3,19.83,49.59,,,,,8000,8000,8000,8000,400,400,400,450,,,,,,,30,30,30,,,,,,2,2,2,2,,200,,,,,,,,,,100,0,0,0,,,1,300,300,300,N,,,,8,1,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000090,999999,서형주,2022-09-08 오전 11:20:00,201,,스마트폰 중고,1171,2,,서울 종로구 종로 302,,,2,1,,,1,1,1,3,304,CS300004,3,2,동대문역,42,1,,1,2,,,1,62,1981,7,9,21,,,,,한형수,,,,10,2928,3398,3,26.45,,,,,,3000,3000,3000,3000,230,230,230,230,,,,,,,,,,20,20,20,,,1,2,2,1,,400,300,,,,1,,,,,100,0,0,0,,,1,300,300,200,Y,코로나,,,1,8,9,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,
,000098,999999,서형주,2022-09-08 오전 11:20:00,201,,보람약국,1171,2,,서울 종로구 종로 326,,,5,1,,,1,1,1,3,318,CS300018,3,1,동묘앞역,150,1,,1,3,,,1,53,1995,7,8,20,2,,,,김락영,2,766,3366,,,,3,39.67,,,,,,3600,3600,3600,3600,300,300,300,300,,,,,,,2,2,2,20,20,20,,,1,1,1,1,,,7000,,,,1,,3,,,,,,,,,1,5000,5000,5000,N,,1000,0.2,4,7,8,,,,,,,,,,3,8,,,,,,,,,,,,,,,,,
,000140,999999,서형주,2022-09-08 오전 11:20:00,201,,김선생포차,1511,2,,서울 송파구 동남로 2길 11,,,4,1,,,1,,1,1,109,CS100009,1,2,문정,400,,,1,1,,,1,,2016,7,11,22,,1,,,김시현,,,,10,4288,7240,3,,,,,,,1500,1500,1500,1500,100,100,100,100,,,,,,,,,,1,1,,,,1,1,1,1,,3000,,,,,1,,3,,,,,,,,,,800,800,1300,Y,코로나,,,7,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000142,999999,서형주,2022-09-08 오전 11:20:00,201,,스쿨푸드 딜리버리 문정점,1511,2,,서울 송파구 동남로 4길 22,,,4,1,,,1,,1,1,108,CS100008,1,2,문정,400,,,1,2,,,2,,2021,1,9,9,,3,,,도금설,,,,10,9578,9064,3,,,,,,,3000,3000,3000,3000,200,200,200,200,,,,,,,,,,5,5,5,,,1,2,2,1,,500,,,,,1,,,,,,,,,,,,3200,3200,3000,Y,코로나,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000195,999999,서형주,2022-09-08 오전 11:20:00,201,,퀸즈티아라,1227,2,,서울 종로구 율곡로 36,,,2,1,,,1,,1,3,315,CS300015,3,2,안국역,444,1,,1,4,,,1,52,2010,5,10,8,4,2,,,장영호,,,,10,3883,9518,3,,,,,,,10000,10000,10000,10000,330,330,330,330,,,,,,,,,,,,,,,1,1,1,1,,5000,1000,,,,1,2,,,,100,0,0,0,,,,1000,1000,4500,Y,코로나,,0.2,8,4,2,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,
